Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Id,canonical_Source,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone,canonical_Fax,canonical_Program Name,canonical_Length of Day,canonical_IDHS Provider ID,canonical_Agency,canonical_Neighborhood,canonical_Funded Enrollment,canonical_Program Option,canonical_Number per Site EHS,canonical_Number per Site HS,canonical_Director,canonical_Head Start Fund,canonical_Eearly Head Start Fund,canonical_CC fund,canonical_Progmod,canonical_Website,canonical_Executive Director,canonical_Center Director,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_NAEYC Program Id,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Purple binder service type,canonical_Column,canonical_Column2 
552,0.96817446,1069,CPS_Early_Childhood_Portal_scrape.csv, Beaubien,5025 N. Laramie ,,5343500,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1069',b'cps_early_childhood_portal_scrape.csv',b'beaubien',b'5025 n. laramie',b'60630',b'5343500',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'jefferson park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg ts',b'',b'',b'',b'',b'',b'',b''
553,0.96817446,1070,CPS_Early_Childhood_Portal_scrape.csv, Palmer,5051 N. Kenneth ,,5343704,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1070',b'cps_early_childhood_portal_scrape.csv',b'palmer',b'5051 n. kenneth',b'60630',b'5343704',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'albany park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
554,0.96817446,1071,CPS_Early_Childhood_Portal_scrape.csv, Trumbull,5200 N. Ashland ,,5342430,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1071',b'cps_early_childhood_portal_scrape.csv',b'trumbull',b'5200 n. ashland',b'60640',b'5342430',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'edgewater',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
555,0.96817446,1072,CPS_Early_Childhood_Portal_scrape.csv, Leland,5221 W. Congress ,,5346340,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1072',b'cps_early_childhood_portal_scrape.csv',b'leland',b'5221 w. congress',b'60644',b'5346340',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'austin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
556,0.9636698,1073,CPS_Early_Childhood_Portal_scrape.csv, Otis,525 N. Armour St. ,,5347665,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1073',b'cps_early_childhood_portal_scrape.csv',b'otis',b'525 n. armour st.',b'60622',b'5347665',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west town',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
557,0.96817446,1074,CPS_Early_Childhood_Portal_scrape.csv, Nightingale,5250 S. Rockwell ,,5359270,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1074',b'cps_early_childhood_portal_scrape.csv',b'nightingale',b'5250 s. rockwell',b'60632',b'5359270',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'gage park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
892,,1075,CPS_Early_Childhood_Portal_scrape.csv, Libby,5300 S. Loomis ,,5359050,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,0.91822416,1076,CPS_Early_Childhood_Portal_scrape.csv, Portage Park,5330 W. Berteau ,,5343576,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1076',b'cps_early_childhood_portal_scrape.csv',b'portage park',b'5330 w. berteau',b'60641',b'5343576',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'portage park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
559,0.96817446,1077,CPS_Early_Childhood_Portal_scrape.csv, Brown,54 N. Hermitage ,,5347250,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1077',b'cps_early_childhood_portal_scrape.csv',b'brown',b'54 n. hermitage',b'60612',b'5347250',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'near west side',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
560,0.96817446,1078,CPS_Early_Childhood_Portal_scrape.csv, Hanson Park,5411 W. Fullerton ,,5343100,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1078',b'cps_early_childhood_portal_scrape.csv',b'hanson park',b'5411 w. fullerton',b'60639',b'5343100',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'belmont cragin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
561,0.96817446,1079,CPS_Early_Childhood_Portal_scrape.csv, Farnsworth,5414 N. Linder ,,5343535,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1079',b'cps_early_childhood_portal_scrape.csv',b'farnsworth',b'5414 n. linder',b'60630',b'5343535',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'jefferson park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
562,0.96817446,1080,CPS_Early_Childhood_Portal_scrape.csv, Oriole Park,5424 N. Oketo ,,5341201,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1080',b'cps_early_childhood_portal_scrape.csv',b'oriole park',b'5424 n. oketo',b'60656',b'5341201',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
563,0.96817446,1081,CPS_Early_Childhood_Portal_scrape.csv, Talman,5450 S. Talman ,,5357850,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1081',b'cps_early_childhood_portal_scrape.csv',b'talman',b'5450 s. talman',b'60632',b'5357850',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'gage park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
564,0.96817446,1082,CPS_Early_Childhood_Portal_scrape.csv, Emmet,5500 W. Madison ,,5346050,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1082',b'cps_early_childhood_portal_scrape.csv',b'emmet',b'5500 w. madison',b'60644',b'5346050',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'austin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
565,0.96817446,1083,CPS_Early_Childhood_Portal_scrape.csv, Peterson,5510 N. Christiana ,,5345070,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1083',b'cps_early_childhood_portal_scrape.csv',b'peterson',b'5510 n. christiana',b'60625',b'5345070',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'north park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg ts',b'',b'',b'',b'',b'',b'',b''
566,0.9646091,1084,CPS_Early_Childhood_Portal_scrape.csv, Carson,5516 S. Maplewood ,,5359222,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1084',b'cps_early_childhood_portal_scrape.csv',b'carson',b'5516 s. maplewood',b'60629',b'5359222',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'gage park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'hs-hd',b'',b'',b'',b'',b'',b'',b''
567,0.96817446,1085,CPS_Early_Childhood_Portal_scrape.csv, Hitch,5625 N. Mcvicker ,,5341189,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1085',b'cps_early_childhood_portal_scrape.csv',b'hitch',b'5625 n. mcvicker',b'60646',b'5341189',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
568,0.96817446,1086,CPS_Early_Childhood_Portal_scrape.csv, Kinzie,5625 S. Mobile ,,5352425,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1086',b'cps_early_childhood_portal_scrape.csv',b'kinzie',b'5625 s. mobile',b'60638',b'5352425',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'garfield ridge',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
569,0.9681744575500488,1087,CPS_Early_Childhood_Portal_scrape.csv, Ray,5631 S Kimbark ,,5350970,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'2738',b'cps_early_childhood_portal_scrape.csv',b'ray',b'5631 s kimbark',b'60637',b'5350970',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'hyde park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'tb',b'',b'',b'',b'',b'',b'',b''
570,0.96817446,1088,CPS_Early_Childhood_Portal_scrape.csv, Henderson,5650 S. Wolcott ,,5359080,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1088',b'cps_early_childhood_portal_scrape.csv',b'henderson',b'5650 s. wolcott',b'60636',b'5359080',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west englewood',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
571,0.94340026,1089,CPS_Early_Childhood_Portal_scrape.csv, Carter,5740 S. Michigan Ave. ,,5350860,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1089',b'cps_early_childhood_portal_scrape.csv',b'carter',b'5740 s. michigan ave.',b'60637',b'5350860',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'washington park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
572,0.855375349521637,1090,CPS_Early_Childhood_Portal_scrape.csv, Norwood Park,5900 N. Nina ,,5341198,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'2695',b'ece chicago find a school scrape.csv',b'norwood park',b'5900 n. nina',b'60631',b'5341198',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'http://www.norwoodparkschool.com',b'pfa-reg',b'',b'',b'07/01/16',b'489732',b'nmtokarz@cps.edu',b'',b''
573,0.96817446,1091,CPS_Early_Childhood_Portal_scrape.csv, Swift,5900 N. Winthrop ,,5342695,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1091',b'cps_early_childhood_portal_scrape.csv',b'swift',b'5900 n. winthrop',b'60660',b'5342695',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'edgewater',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
893,,1092,CPS_Early_Childhood_Portal_scrape.csv, Copernicus,6010 S. Throop ,,5359180,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,0.96817446,1093,CPS_Early_Childhood_Portal_scrape.csv, Morrill,6011 S. Rockwell ,,5359288,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1093',b'cps_early_childhood_portal_scrape.csv',b'morrill',b'6011 s. rockwell',b'60629',b'5359288',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'chicago lawn',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
575,0.9442266821861267,1094,CPS_Early_Childhood_Portal_scrape.csv, Belmont-Cragin-Socrates,6041 W. Diversey ,,5343318,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'2874',b'ece chicago find a school scrape.csv',b'belmont-cragin',b'6041 w. diversey',b'60639',b'5343318',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'belmont cragin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg ts',b'',b'',b'08/01/16',b'723729',b'mmoya-leanga@cps.edu',b'',b''
576,0.9635108,1095,CPS_Early_Childhood_Portal_scrape.csv, Dore,6108 S. Natoma Ave. ,,5352080,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1095',b'cps_early_childhood_portal_scrape.csv',b'dore',b'6108 s. natoma ave.',b'60638',b'5352080',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'clearing',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
577,0.96817446,1096,CPS_Early_Childhood_Portal_scrape.csv, Hale,6140 S. Melvina ,,5352265,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1096',b'cps_early_childhood_portal_scrape.csv',b'hale',b'6140 s. melvina',b'60638',b'5352265',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'clearing',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
578,0.96817446,1097,CPS_Early_Childhood_Portal_scrape.csv, Solomon,6206 N. Hamlin ,,5345226,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1097',b'cps_early_childhood_portal_scrape.csv',b'solomon',b'6206 n. hamlin',b'60659',b'5345226',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'north park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
579,0.96817446,1098,CPS_Early_Childhood_Portal_scrape.csv, Woods,6206 S. Racine ,,5359250,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1098',b'cps_early_childhood_portal_scrape.csv',b'woods',b'6206 s. racine',b'60636',b'5359250',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west englewood',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
580,0.9312838,1099,CPS_Early_Childhood_Portal_scrape.csv, Edison Park,6220 N. Olcott ,,5341209,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1099',b'cps_early_childhood_portal_scrape.csv',b'edison park',b'6220 n. olcott',b'60631',b'5341209',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
581,0.96817446,1100,CPS_Early_Childhood_Portal_scrape.csv, Lovett,6333 W. Bloomingdale ,,5343130,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1100',b'cps_early_childhood_portal_scrape.csv',b'lovett',b'6333 w. bloomingdale',b'60639',b'5343130',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'austin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
582,0.96817446,1101,CPS_Early_Childhood_Portal_scrape.csv, Wadsworth,6420 S. University ,,5350730,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1101',b'cps_early_childhood_portal_scrape.csv',b'wadsworth',b'6420 s. university',b'60637',b'5350730',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'woodlawn',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg pfa-fd',b'',b'',b'',b'',b'',b'',b''
583,0.95487225,1102,CPS_Early_Childhood_Portal_scrape.csv, Beard,6445 W. Strong ,,5341230,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1102',b'cps_early_childhood_portal_scrape.csv',b'beard',b'6445 w. strong',b'60656',b'5341230',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
584,0.96817446,1103,CPS_Early_Childhood_Portal_scrape.csv, Lee,6448 S. Tripp ,,5352255,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1103',b'cps_early_childhood_portal_scrape.csv',b'lee',b'6448 s. tripp',b'60629',b'5352255',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west lawn',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
585,0.9029161930084229,1104,CPS_Early_Childhood_Portal_scrape.csv, Ryerson,646 N. Lawndale ,,5346700,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1104',b'dfss_agencysitelies_2012.csv',b'ryerson',b'646 n. lawndale',b'60624',b'5346700',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'humboldt park',b'chicago public schools',b'humboldt park',b'',b'',b'',b'',b'mr. lorenzo russell',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'mr. lorenzo russell',b'',b'',b'',b'',b'',b''
586,0.96817446,1105,CPS_Early_Childhood_Portal_scrape.csv, Pirie,650 E. 85Th St ,,5353435,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1105',b'cps_early_childhood_portal_scrape.csv',b'pirie',b'650 e. 85th st',b'60619',b'5353435',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'chatham',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
587,0.96817446,1106,CPS_Early_Childhood_Portal_scrape.csv, Burnside,650 E. 91st Pl. ,,5353300,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1106',b'cps_early_childhood_portal_scrape.csv',b'burnside',b'650 e. 91st pl.',b'60619',b'5353300',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'chatham',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
894,,1107,CPS_Early_Childhood_Portal_scrape.csv," Till, Emmet",6543 S. Champlain ,,5350570,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,0.96817446,1108,CPS_Early_Childhood_Portal_scrape.csv, Marquette,6550 S. Richmond ,,5359260,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1108',b'cps_early_childhood_portal_scrape.csv',b'marquette',b'6550 s. richmond',b'60629',b'5359260',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'chicago lawn',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
895,,1109,CPS_Early_Childhood_Portal_scrape.csv, Dumas,6615 S. Kenwood Ave ,,5350802,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,0.96817446,1110,CPS_Early_Childhood_Portal_scrape.csv, Onahan,6634 W. Raven St. ,,5341180,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1110',b'cps_early_childhood_portal_scrape.csv',b'onahan',b'6634 w. raven st.',b'60631',b'5341180',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'norwood park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
590,0.96307504,1111,CPS_Early_Childhood_Portal_scrape.csv, Banneker,6656 S. Normal Blvd. ,,5353020,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1111',b'cps_early_childhood_portal_scrape.csv',b'banneker',b'6656 s. normal blvd.',b'60621',b'5353020',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'englewood',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
591,0.96817446,1112,CPS_Early_Childhood_Portal_scrape.csv, Kilmer,6700 N. Greenview ,,5342115,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1112',b'cps_early_childhood_portal_scrape.csv',b'kilmer',b'6700 n. greenview',b'60626',b'5342115',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'rogers park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
592,0.96817446,1113,CPS_Early_Childhood_Portal_scrape.csv, Boone,6710 N. Washtenaw ,,5342160,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1113',b'cps_early_childhood_portal_scrape.csv',b'boone',b'6710 n. washtenaw',b'60645',b'5342160',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west ridge',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg ts',b'',b'',b'',b'',b'',b'',b''
593,0.96817446,1114,CPS_Early_Childhood_Portal_scrape.csv, Brownell,6741 S. Michigan ,,5353030,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1114',b'cps_early_childhood_portal_scrape.csv',b'brownell',b'6741 s. michigan',b'60637',b'5353030',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'greater grand crossing',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
594,0.96817446,1115,CPS_Early_Childhood_Portal_scrape.csv, Parkside,6938 S. East End Av. ,,5350940,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1115',b'cps_early_childhood_portal_scrape.csv',b'parkside',b'6938 s. east end av.',b'60649',b'5350940',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'south shore',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
595,0.96817446,1116,CPS_Early_Childhood_Portal_scrape.csv, Wentworth,6950 S. Sangamon ,,5353394,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1116',b'cps_early_childhood_portal_scrape.csv',b'wentworth',b'6950 s. sangamon',b'60621',b'5353394',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'englewood',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
596,0.96817446,1117,CPS_Early_Childhood_Portal_scrape.csv, Park Manor,7037 S. Rhodes ,,5353070,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1117',b'cps_early_childhood_portal_scrape.csv',b'park manor',b'7037 s. rhodes',b'60637',b'5353070',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'greater grand crossing',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
597,0.96817446,1118,CPS_Early_Childhood_Portal_scrape.csv, Howe,720 N. Lorel ,,5346060,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1118',b'cps_early_childhood_portal_scrape.csv',b'howe',b'720 n. lorel',b'60644',b'5346060',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'austin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
598,0.96817446,1119,CPS_Early_Childhood_Portal_scrape.csv, Randolph,7316 S. Hoyne ,,5359015,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1119',b'cps_early_childhood_portal_scrape.csv',b'randolph',b'7316 s. hoyne',b'60636',b'5359015',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west englewood',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
599,0.96817446,1120,CPS_Early_Childhood_Portal_scrape.csv, Rogers,7345 N. Washtenaw ,,5342125,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1120',b'cps_early_childhood_portal_scrape.csv',b'rogers',b'7345 n. washtenaw',b'60645',b'5342125',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'west ridge',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg ts',b'',b'',b'',b'',b'',b'',b''
600,0.96817446,1121,CPS_Early_Childhood_Portal_scrape.csv, Ebinger,7350 W Pratt ,,5341070,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1121',b'cps_early_childhood_portal_scrape.csv',b'ebinger',b'7350 w pratt',b'60631',b'5341070',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'edison park',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
896,,1122,CPS_Early_Childhood_Portal_scrape.csv, Bouchet,7355 S. Jeffery ,,5350501,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,0.96817446,1123,CPS_Early_Childhood_Portal_scrape.csv, King,740 S. Campbell Ave ,,5347898,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1123',b'cps_early_childhood_portal_scrape.csv',b'king',b'740 s. campbell ave',b'60612',b'5347898',b'',b'prekindergarten for all',b'3-4 hours',b'',b'',b'near west side',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'pfa-reg',b'',b'',b'',b'',b'',b'',b''
